wall_time,episode_idx,road_id,sim_time_s,property,rho,status
2026-06-22 17:19:54,2,853,6.18814,P5_recovery,-0.0769,violated
2026-06-22 17:19:55,2,853,7.54646,P5_recovery,-0.0295,violated
2026-06-22 17:19:55,2,853,7.78859,P6_curvature_safety,-0.00166,violated
2026-06-22 17:20:04,4,550,1.69138,P5_recovery,-0.0424,violated
2026-06-22 17:20:05,4,550,2.0001,P6_curvature_safety,-0.01698,violated
2026-06-22 17:20:05,4,550,2.24919,P1_lane_keeping,-0.1879,violated
2026-06-22 17:20:05,4,550,2.58325,P3_steering_smoothness,-0.00622,violated
2026-06-22 17:20:06,4,550,3.31473,P4_heading_alignment,-0.02965,violated
2026-06-22 17:20:07,4,550,4.03454,P5_recovery,-0.159,violated
2026-06-22 17:20:08,4,550,5.19093,P5_recovery,-0.0617,violated
2026-06-22 17:20:09,4,550,6.26105,P5_recovery,-0.0635,violated
2026-06-22 17:20:11,4,550,8.3676,P5_recovery,-0.0175,violated
2026-06-22 17:20:13,4,550,9.81463,P5_recovery,-0.9695,violated
2026-06-22 17:21:49,0,349,5.94336,P2_speed_stability,-5.0,violated
